rule_count,rep,engine,concurrency,payload,records_used,avg_body_bytes,duration_s,completed,errors,rps,request_mib_s,p50_ms,p95_ms,p99_ms,p999_ms,min_ms,max_ms,mean_ms,tail_overflow,err_p50_ms,err_p99_ms,stall_seconds_total,wall_elapsed_s
4000,1,themis,256,large,2382,300118,15.0,16903,15,1126.9,322.46,227.165,384.924,396.588,469.681,49.156,494.847,228.912,0,3049.448,3205.001,45.607,17.9
4000,1,aergia,256,large,2382,300118,15.0,16106,58,1073.7,307.48,126.293,819.973,1257.821,1581.286,4.783,1734.616,238.171,0,29.250,3665.953,20.649,15.1
4000,2,aergia,256,large,2382,300118,15.0,16144,64,1076.3,308.23,90.944,861.800,1083.424,1308.894,5.078,1363.739,235.259,0,34.988,3982.063,59.353,15.1
4000,2,themis,256,large,2382,300118,15.0,16927,0,1128.5,322.96,227.165,384.924,396.588,469.681,48.979,500.075,228.835,0,0.000,0.000,0.000,15.4
4000,3,themis,256,large,2382,300118,15.0,16394,47,1092.9,312.66,227.165,384.924,396.588,465.030,49.542,492.841,228.283,0,2733.293,3332.626,130.232,15.4
4000,3,aergia,256,large,2382,300118,15.0,16015,87,1067.7,305.74,128.832,780.177,1116.252,1389.417,5.896,1492.829,240.543,0,29.543,676.205,6.115,15.1
