engine,concurrency,rps,p99_ms,mib_s,mean_ms,errors,verified,wrong
themis,16,5016.1,4.878,12.72,3.189,0,75242,0
themis,32,10618.1,4.595,26.93,3.013,0,159272,0
themis,64,21931.9,4.372,55.63,2.917,0,328979,0
themis,128,42229.1,4.878,107.12,3.030,0,633437,0
themis,256,74059.7,6.510,187.85,3.456,0,1110896,0
themis,512,110708.3,10.289,280.82,4.601,14,1660625,3
aergia,16,9033.7,2.555,22.91,1.770,0,135506,0
aergia,32,22293.7,2.359,56.55,1.435,0,334406,0
aergia,64,37105.9,2.879,94.12,1.724,0,556588,0
aergia,128,47148.9,4.595,119.60,2.714,0,707234,0
aergia,256,55511.4,8.023,140.81,4.610,5,832671,0
aergia,512,62921.9,14.869,159.60,8.123,3,943828,1
